,control_p_val,control_avg_logFC,control_pct.1,control_pct.2,control_p_val_adj,treatment_p_val,treatment_avg_logFC,treatment_pct.1,treatment_pct.2,treatment_p_val_adj,max_pval,minimump_p_val,cluster,gene
PF3D7-0202400,4.31E-146,1.130112303,0.751,0.323,2.25E-142,3.88E-97,0.76590622,0.447,0.212,2.03E-93,3.88E-97,8.62E-146,1,PF3D7-0202400
PF3D7-0532600,8.64E-88,0.772787078,0.674,0.386,4.52E-84,1.59E-133,0.646226908,0.705,0.493,8.33E-130,8.64E-88,3.19E-133,1,PF3D7-0532600
PF3D7-0730900,1.07E-75,0.526992163,0.811,0.593,5.57E-72,3.32E-97,0.334381611,0.869,0.75,1.74E-93,1.07E-75,6.65E-97,1,PF3D7-0730900
PF3D7-0832200,2.63E-95,0.685535057,0.607,0.278,1.37E-91,1.30E-76,0.435093711,0.469,0.271,6.80E-73,1.30E-76,5.26E-95,1,PF3D7-0832200
PF3D7-0801000,2.37E-32,0.442746176,0.568,0.448,1.24E-28,1.07E-45,0.337303543,0.556,0.452,5.61E-42,2.37E-32,2.15E-45,1,PF3D7-0801000
PF3D7-0424000,6.37E-44,0.62811835,0.456,0.248,3.33E-40,2.91E-13,0.256562394,0.216,0.154,1.52E-09,2.91E-13,1.27E-43,1,PF3D7-0424000
PF3D7-1039000,1.32E-29,0.369403786,0.515,0.343,6.88E-26,2.75E-41,0.320580484,0.574,0.469,1.44E-37,1.32E-29,5.50E-41,1,PF3D7-1039000
PF3D7-0532500,5.33E-24,0.358453324,0.332,0.194,2.78E-20,5.37E-26,0.311264389,0.377,0.288,2.81E-22,5.33E-24,1.07E-25,1,PF3D7-0532500
PF3D7-1476200,7.39E-23,0.405541038,0.435,0.305,3.86E-19,1.06E-14,0.265295429,0.374,0.325,5.55E-11,1.06E-14,1.48E-22,1,PF3D7-1476200
PF3D7-1105100,0,1.068268294,1,0.741,0,0,1.292923141,1,0.658,0,0,0,2,PF3D7-1105100
PF3D7-0617800,0,1.065105321,1,0.624,0,0,1.367586119,1,0.533,0,0,0,2,PF3D7-0617800
PF3D7-0610400,2.74E-276,0.688514695,0.889,0.265,1.43E-272,0,0.812039559,0.869,0.152,0,2.74E-276,0,2,PF3D7-0610400
PF3D7-1105000,1.85E-211,0.536411074,0.82,0.256,9.64E-208,2.07E-254,0.659588332,0.819,0.198,1.08E-250,1.85E-211,4.14E-254,2,PF3D7-1105000
PF3D7-0902800,9.43E-246,0.427882787,0.616,0.097,4.93E-242,9.36E-191,0.288570582,0.372,0.04,4.89E-187,9.36E-191,1.89E-245,2,PF3D7-0902800
PF3D7-1343000,1.00E-179,0.564707761,0.833,0.313,5.23E-176,2.43E-245,0.708568929,0.837,0.218,1.27E-241,1.00E-179,4.86E-245,2,PF3D7-1343000
PF3D7-1133200,5.97E-226,0.531440333,0.729,0.177,3.12E-222,8.16E-241,0.434335139,0.574,0.083,4.26E-237,5.97E-226,1.63E-240,2,PF3D7-1133200
PF3D7-1127100,1.83E-223,0.396821277,0.629,0.122,9.57E-220,3.82E-230,0.284757002,0.412,0.039,1.99E-226,1.83E-223,7.63E-230,2,PF3D7-1127100
PF3D7-0904900,1.98E-166,0.359829434,0.64,0.166,1.03E-162,4.80E-182,0.352375967,0.582,0.113,2.51E-178,1.98E-166,9.60E-182,2,PF3D7-0904900
PF3D7-1016300,1.84E-151,0.512715015,0.997,0.709,9.61E-148,9.01E-151,0.612274992,0.974,0.543,4.71E-147,9.01E-151,3.68E-151,2,PF3D7-1016300
PF3D7-1462800,6.68E-115,0.369406097,0.822,0.362,3.49E-111,1.47E-126,0.414023274,0.769,0.269,7.69E-123,6.68E-115,2.94E-126,2,PF3D7-1462800
PF3D7-1303800,1.20E-119,0.397931995,0.889,0.419,6.27E-116,5.27E-107,0.397942892,0.812,0.335,2.75E-103,5.27E-107,2.40E-119,2,PF3D7-1303800
PF3D7-1015900,2.70E-118,0.431233197,0.953,0.565,1.41E-114,3.15E-54,0.305746792,0.873,0.509,1.65E-50,3.15E-54,5.40E-118,2,PF3D7-1015900
PF3D7-1361900,2.37E-116,0.305102243,0.676,0.24,1.24E-112,5.56E-116,0.25660579,0.526,0.131,2.90E-112,5.56E-116,4.74E-116,2,PF3D7-1361900
PF3D7-1149100,2.36E-104,0.417161361,0.969,0.679,1.23E-100,2.18E-81,0.423635136,0.95,0.596,1.14E-77,2.18E-81,4.72E-104,2,PF3D7-1149100
PF3D7-1108600,2.76E-93,0.353368204,0.919,0.528,1.44E-89,1.91E-74,0.362624442,0.838,0.433,9.96E-71,1.91E-74,5.52E-93,2,PF3D7-1108600
PF3D7-1239200,3.56E-75,0.301731008,0.841,0.438,1.86E-71,1.81E-75,0.310446177,0.734,0.307,9.44E-72,3.56E-75,3.61E-75,2,PF3D7-1239200
PF3D7-1001500,0,1.534000165,0.869,0.119,0,0,1.271025911,0.764,0.102,0,0,0,3,PF3D7-1001500
PF3D7-0935900,1.81E-304,0.917437064,0.549,0.04,9.44E-301,0,0.773267568,0.427,0.03,0,1.81E-304,0,3,PF3D7-0935900
PF3D7-1370300,1.09E-269,0.706155413,0.431,0.02,5.69E-266,4.84E-222,0.467070452,0.268,0.013,2.53E-218,4.84E-222,2.18E-269,3,PF3D7-1370300
PF3D7-0424700,3.47E-189,0.789046664,0.603,0.124,1.81E-185,4.96E-258,0.849549384,0.626,0.143,2.59E-254,3.47E-189,9.92E-258,3,PF3D7-0424700
PF3D7-1229300,7.15E-91,0.58806906,0.341,0.075,3.74E-87,1.67E-222,0.718667961,0.367,0.042,8.74E-219,7.15E-91,3.35E-222,3,PF3D7-1229300
PF3D7-0201900,3.07E-174,1.004801224,0.76,0.283,1.60E-170,7.91E-218,0.917730713,0.812,0.389,4.13E-214,3.07E-174,1.58E-217,3,PF3D7-0201900
PF3D7-0936800,1.56E-205,0.963814764,0.751,0.209,8.14E-202,5.24E-162,0.745877515,0.662,0.274,2.74E-158,5.24E-162,3.11E-205,3,PF3D7-0936800
PF3D7-1301400,2.62E-148,0.433133627,0.313,0.028,1.37E-144,4.08E-205,0.528513939,0.331,0.035,2.13E-201,2.62E-148,8.16E-205,3,PF3D7-1301400
PF3D7-0501300,1.36E-177,0.589921339,0.457,0.064,7.13E-174,6.07E-152,0.475685031,0.369,0.073,3.17E-148,6.07E-152,2.73E-177,3,PF3D7-0501300
PF3D7-0202500,2.04E-148,0.543433812,0.404,0.058,1.06E-144,5.46E-161,0.53941149,0.399,0.08,2.85E-157,2.04E-148,1.09E-160,3,PF3D7-0202500
PF3D7-0532300,2.28E-150,0.823735188,0.744,0.28,1.19E-146,8.34E-156,0.745294132,0.7,0.311,4.36E-152,2.28E-150,1.67E-155,3,PF3D7-0532300
PF3D7-0730800,1.12E-103,0.514485863,0.424,0.101,5.85E-100,1.57E-140,0.574250929,0.538,0.175,8.20E-137,1.12E-103,3.14E-140,3,PF3D7-0730800
PF3D7-1401400,4.79E-106,0.570265395,0.506,0.149,2.50E-102,7.38E-123,0.589344103,0.512,0.183,3.85E-119,4.79E-106,1.48E-122,3,PF3D7-1401400
PF3D7-0936300,3.81E-122,0.439641835,0.312,0.039,1.99E-118,7.36E-79,0.321491459,0.223,0.048,3.84E-75,7.36E-79,7.63E-122,3,PF3D7-0936300
PF3D7-1229100,2.15E-65,0.599560161,0.523,0.252,1.12E-61,8.08E-118,0.766967393,0.532,0.218,4.22E-114,2.15E-65,1.62E-117,3,PF3D7-1229100
PF3D7-1116800,8.63E-82,0.648214282,0.651,0.34,4.51E-78,1.31E-97,0.585346376,0.641,0.361,6.82E-94,8.63E-82,2.61E-97,3,PF3D7-1116800
PF3D7-1436300,6.48E-79,0.557145598,0.595,0.269,3.38E-75,4.54E-94,0.571797693,0.654,0.366,2.37E-90,6.48E-79,9.07E-94,3,PF3D7-1436300
PF3D7-1404800,2.88E-85,0.467712719,0.438,0.129,1.51E-81,4.81E-59,0.376238982,0.416,0.193,2.51E-55,4.81E-59,5.77E-85,3,PF3D7-1404800
PF3D7-0201800,2.31E-77,0.397154777,0.383,0.106,1.21E-73,1.88E-79,0.404107857,0.389,0.145,9.82E-76,2.31E-77,3.76E-79,3,PF3D7-0201800
PF3D7-0702400,1.34E-71,0.544115501,0.535,0.238,6.97E-68,9.91E-53,0.432662922,0.471,0.269,5.18E-49,9.91E-53,2.67E-71,3,PF3D7-0702400
PF3D7-0410000,6.43E-55,0.360088024,0.346,0.116,3.36E-51,3.80E-64,0.383188771,0.34,0.131,1.99E-60,6.43E-55,7.61E-64,3,PF3D7-0410000
PF3D7-1252300,2.27E-37,0.394586516,0.475,0.268,1.19E-33,6.28E-46,0.372524713,0.526,0.325,3.28E-42,2.27E-37,1.26E-45,3,PF3D7-1252300
PF3D7-1478600,8.06E-29,0.325251812,0.322,0.155,4.21E-25,1.33E-45,0.355857593,0.397,0.205,6.97E-42,8.06E-29,2.67E-45,3,PF3D7-1478600
PF3D7-0731100,1.00E-42,0.379059984,0.334,0.13,5.25E-39,5.68E-45,0.317895221,0.327,0.147,2.97E-41,1.00E-42,1.14E-44,3,PF3D7-0731100
PF3D7-1244300,2.44E-21,0.638448618,0.327,0.186,1.28E-17,3.26E-39,0.790891159,0.362,0.194,1.70E-35,2.44E-21,6.53E-39,3,PF3D7-1244300
PF3D7-0406500,2.38E-37,0.48317215,0.668,0.488,1.24E-33,1.88E-33,0.422400645,0.599,0.457,9.80E-30,1.88E-33,4.76E-37,3,PF3D7-0406500
PF3D7-1107800,1.29E-33,0.38896153,0.489,0.294,6.74E-30,2.26E-13,0.265918386,0.434,0.352,1.18E-09,2.26E-13,2.58E-33,3,PF3D7-1107800
