Gene ID,Genomic Location (Gene),Product Description
PF3D7-0100200,"Pf3D7-01-v3:38,982..40,207(-)",rifin
PF3D7-0100400,"Pf3D7-01-v3:50,363..51,636(+)",rifin
PF3D7-0100600,"Pf3D7-01-v3:53,778..55,006(-)",rifin
PF3D7-0100800,"Pf3D7-01-v3:59,772..61,003(+)",rifin
PF3D7-0100900,"Pf3D7-01-v3:62,187..63,400(-)",rifin
PF3D7-0101000,"Pf3D7-01-v3:65,817..66,989(-)",rifin
PF3D7-0101600,"Pf3D7-01-v3:81,765..83,106(-)",rifin
PF3D7-0101800,"Pf3D7-01-v3:87,203..88,177(-)",stevor
PF3D7-0101900,"Pf3D7-01-v3:90,242..91,420(-)",rifin
PF3D7-0102100,"Pf3D7-01-v3:95,050..95,899(+)","stevor, pseudogene"
PF3D7-0114600,"Pf3D7-01-v3:560,474..561,534(-)","stevor, pseudogene"
PF3D7-0114700,"Pf3D7-01-v3:563,703..564,842(-)",rifin
PF3D7-0115200,"Pf3D7-01-v3:591,849..593,187(+)",rifin
PF3D7-0115300,"Pf3D7-01-v3:595,102..596,273(+)",rifin
PF3D7-0115400,"Pf3D7-01-v3:598,465..599,472(+)",stevor
PF3D7-0115600,"Pf3D7-01-v3:604,162..605,531(+)",rifin
PF3D7-0200200,"Pf3D7-02-v3:33,030..34,259(-)",rifin
PF3D7-0200400,"Pf3D7-02-v3:38,287..39,303(-)",stevor
PF3D7-0200500,"Pf3D7-02-v3:41,515..42,858(-)",rifin
PF3D7-0200600,"Pf3D7-02-v3:45,286..46,558(-)",rifin
PF3D7-0200700,"Pf3D7-02-v3:48,923..50,147(-)",rifin
PF3D7-0200900,"Pf3D7-02-v3:54,254..55,255(-)","stevor, pseudogene"
PF3D7-0201000,"Pf3D7-02-v3:57,344..58,421(-)",rifin
PF3D7-0201200,"Pf3D7-02-v3:63,157..64,376(+)",rifin
PF3D7-0201300,"Pf3D7-02-v3:66,529..67,545(+)",stevor
PF3D7-0221400,"Pf3D7-02-v3:860,466..861,504(+)",stevor
PF3D7-0222400,"Pf3D7-02-v3:886,625..887,802(+)","rifin, pseudogene"
PF3D7-0222500,"Pf3D7-02-v3:889,660..890,745(+)",rifin
PF3D7-0222600,"Pf3D7-02-v3:892,856..894,206(+)",rifin
PF3D7-0222700,"Pf3D7-02-v3:896,226..897,420(+)",rifin
PF3D7-0222800,"Pf3D7-02-v3:899,430..900,445(+)",stevor
PF3D7-0223100,"Pf3D7-02-v3:904,551..905,775(+)",rifin
PF3D7-0223200,"Pf3D7-02-v3:907,678..908,861(+)",rifin
PF3D7-0223400,"Pf3D7-02-v3:913,244..914,457(+)",rifin
PF3D7-0300200,"Pf3D7-03-v3:46,369..47,579(-)",rifin
PF3D7-0300400,"Pf3D7-03-v3:52,280..53,273(-)",stevor
PF3D7-0300500,"Pf3D7-03-v3:55,390..56,584(-)",rifin
