Gene ID,Genomic Location (Gene),Product Description
PF3D7-0106700,"Pf3D7-01-v3:281,155..285,459(+)",small ribosomal subunit assembling AARP2 protein
PF3D7-0202400,"Pf3D7-02-v3:120,524..124,102(+)",translation-enhancing factor
PF3D7-0208600,"Pf3D7-02-v3:354,621..356,117(+)",ribosome-recycling factor
PF3D7-0210100,"Pf3D7-02-v3:412,275..412,859(+)","60S ribosomal protein L37ae, putative"
PF3D7-0210100,"Pf3D7-02-v3:412,275..412,859(+)","60S ribosomal protein L37ae, putative"
PF3D7-0210400,"Pf3D7-02-v3:425,689..426,497(+)","50S ribosomal protein L33, putative"
PF3D7-0212200,"Pf3D7-02-v3:489,904..490,818(-)","ribosomal protein L12, mitochondrial, putative"
PF3D7-0214200,"Pf3D7-02-v3:575,155..576,054(-)","ribosomal protein L13, mitochondrial"
PF3D7-0217800,"Pf3D7-02-v3:734,272..734,595(+)",40S ribosomal protein S26
PF3D7-0219200,"Pf3D7-02-v3:772,316..772,690(+)",40S ribosomal protein S30
PF3D7-0219400,"Pf3D7-02-v3:774,815..776,036(+)","ribosome associated membrane protein RAMP4, putative, unspecified product"
PF3D7-0219400,"Pf3D7-02-v3:774,815..776,036(+)","ribosome associated membrane protein RAMP4, putative, unspecified product"
PF3D7-0304400,"Pf3D7-03-v3:217,941..218,489(+)",60S ribosomal protein L44
PF3D7-0305000,"Pf3D7-03-v3:234,058..235,334(-)",elongation factor Ts
PF3D7-0305400,"Pf3D7-03-v3:260,332..261,085(+)","conserved protein, unknown function"
PF3D7-0306900,"Pf3D7-03-v3:310,652..311,805(+)","40S ribosomal protein S23, putative"
PF3D7-0307100,"Pf3D7-03-v3:312,693..313,342(-)","40S ribosomal protein S12, putative"
PF3D7-0307200,"Pf3D7-03-v3:314,976..316,236(-)","60S ribosomal protein L7, putative"
PF3D7-0310000,"Pf3D7-03-v3:420,697..421,515(+)","50S ribosomal protein L9, apicoplast, putative"
PF3D7-0312800,"Pf3D7-03-v3:534,239..535,238(+)","60S ribosomal protein L26, putative"
PF3D7-0313500,"Pf3D7-03-v3:548,718..551,453(+)",Ras-like G protein
