Gene ID,Genomic Location (Gene),Product Description
PF3D7-0101100,"Pf3D7-01-v3:69,304..70,417(-)",exported protein family 4
PF3D7-0101300,"Pf3D7-01-v3:74,563..75,366(+)",Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7-0102200,"Pf3D7-01-v3:98,819..102,282(+)",ring-infected erythrocyte surface antigen
PF3D7-0104200,"Pf3D7-01-v3:182,822..184,222(-)",StAR-related lipid transfer protein
PF3D7-0106900,"Pf3D7-01-v3:290,386..292,590(+)","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative"
PF3D7-0113200,"Pf3D7-01-v3:500,959..502,868(-)","Plasmodium exported protein, unknown function"
PF3D7-0113300,"Pf3D7-01-v3:504,938..506,874(-)","Plasmodium exported protein (hyp1), unknown function"
PF3D7-0113400,"Pf3D7-01-v3:508,252..509,748(-)","Plasmodium exported protein, unknown function"
PF3D7-0114000,"Pf3D7-01-v3:542,480..546,983(+)",exported protein family 1
PF3D7-0114100,"Pf3D7-01-v3:547,597..548,380(-)",Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7-0114500,"Pf3D7-01-v3:558,201..558,708(-)","Plasmodium exported protein (hyp10), unknown function"
PF3D7-0115100,"Pf3D7-01-v3:587,391..588,394(+)","Plasmodium exported protein (PHISTa), unknown function"
PF3D7-0201500,"Pf3D7-02-v3:73,441..74,396(-)","Plasmodium exported protein (hyp9), unknown function"
PF3D7-0201700,"Pf3D7-02-v3:81,291..84,165(-)","DnaJ protein, putative"
PF3D7-0202100,"Pf3D7-02-v3:109,564..110,580(-)",liver stage associated protein 2
PF3D7-0202200,"Pf3D7-02-v3:112,547..113,682(-)",EMP1-trafficking protein
PF3D7-0203000,"Pf3D7-02-v3:141,625..147,564(-)","repetitive organellar protein, putative"
PF3D7-0205700,"Pf3D7-02-v3:231,141..232,529(+)","RNA-binding protein, putative"
PF3D7-0205700,"Pf3D7-02-v3:231,141..232,529(+)","RNA-binding protein, putative"
PF3D7-0207100,"Pf3D7-02-v3:281,907..287,345(+)","conserved Plasmodium protein, unknown function"
PF3D7-0209800,"Pf3D7-02-v3:404,281..406,355(-)",ATP-dependent RNA helicase UAP56
PF3D7-0215900,"Pf3D7-02-v3:654,918..656,840(-)","palmitoyltransferase DHHC11, putative"
PF3D7-0218400,"Pf3D7-02-v3:750,049..751,737(-)","ATP-dependent RNA helicase DDX47, putative"
PF3D7-0219500,"Pf3D7-02-v3:776,828..778,065(-)","pseudouridine synthase, putative"
PF3D7-0219700,"Pf3D7-02-v3:783,723..784,828(-)","Plasmodium exported protein (PHISTc), unknown function"
PF3D7-0219800,"Pf3D7-02-v3:786,870..787,940(-)","Plasmodium exported protein (PHISTc), unknown function"
PF3D7-0220100,"Pf3D7-02-v3:804,520..807,741(+)","DnaJ protein, putative"
PF3D7-0220400,"Pf3D7-02-v3:820,429..822,541(+)","DnaJ protein, putative, pseudogene"
PF3D7-0220600,"Pf3D7-02-v3:831,189..832,005(+)","Plasmodium exported protein (hyp9), unknown function"
PF3D7-0221500,"Pf3D7-02-v3:863,079..863,842(-)","Pfmc-2TM Maurer's cleft two transmembrane protein, pseudogene"
PF3D7-0221600,"Pf3D7-02-v3:865,916..866,538(-)","Plasmodium exported protein, unknown function, pseudogene"
PF3D7-0222100,"Pf3D7-02-v3:878,468..879,251(-)",Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7-0222300,"Pf3D7-02-v3:883,452..884,312(+)","exported protein family 4, pseudogene"
PF3D7-0301100,"Pf3D7-03-v3:76,494..77,474(+)","Plasmodium exported protein (hyp13), unknown function"
PF3D7-0301500,"Pf3D7-03-v3:88,250..89,231(-)","Plasmodium exported protein, unknown function"
PF3D7-0301600,"Pf3D7-03-v3:91,115..93,463(-)","Plasmodium exported protein (hyp1), unknown function"
PF3D7-0301800,"Pf3D7-03-v3:104,325..105,281(+)","Plasmodium exported protein, unknown function"
PF3D7-0303700,"Pf3D7-03-v3:191,245..192,591(-)",lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
PF3D7-0304000,"Pf3D7-03-v3:198,542..201,584(-)","inner membrane complex protein 1a, putative"
PF3D7-0304600,"Pf3D7-03-v3:221,323..222,516(-)",circumsporozoite (CS) protein
PF3D7-0305500,"Pf3D7-03-v3:261,485..273,286(-)","conserved Plasmodium protein, unknown function"
PF3D7-0305800,"Pf3D7-03-v3:281,916..285,260(+)","P-loop containing nucleoside triphosphate hydrolase, putative"
PF3D7-0307300,"Pf3D7-03-v3:318,804..320,336(+)","microtubule-associated protein RP/EB family, putative"
PF3D7-0308100,"Pf3D7-03-v3:356,319..361,454(+)","zinc finger protein, putative"
PF3D7-0309700,"Pf3D7-03-v3:409,102..410,928(-)","SECIS-binding protein 2, putative"
PF3D7-0312800,"Pf3D7-03-v3:534,239..535,238(+)","60S ribosomal protein L26, putative"
PF3D7-0317300,"Pf3D7-03-v3:699,544..709,728(-)","conserved Plasmodium protein, unknown function"
PF3D7-0318200,"Pf3D7-03-v3:748,465..755,838(+)",DNA-directed RNA polymerase II subunit RPB1
PF3D7-0319500,"Pf3D7-03-v3:815,569..816,855(+)","RNA-binding protein, putative"
PF3D7-0320000,"Pf3D7-03-v3:837,307..838,271(+)",protein phosphatase inhibitor 2
PF3D7-0320800,"Pf3D7-03-v3:870,817..872,342(+)",ATP-dependent RNA helicase DDX6
PF3D7-0324100,"Pf3D7-03-v3:1,007,413..1,008,202(-)",Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7-0324300,"Pf3D7-03-v3:1,012,355..1,013,464(+)",exported protein family 4
PF3D7-0401800,"Pf3D7-04-v3:103,742..105,603(-)","Plasmodium exported protein (PHISTb), unknown function"
PF3D7-0402100,"Pf3D7-04-v3:123,588..125,464(-)","Plasmodium exported protein (PHISTb), unknown function"
PF3D7-0402300,"Pf3D7-04-v3:137,640..146,653(+)",reticulocyte binding protein homologue 1
PF3D7-0405100,"Pf3D7-04-v3:272,255..276,824(-)","protein transport protein Sec24B, putative"
PF3D7-0405300,"Pf3D7-04-v3:282,403..288,297(-)","liver specific protein 2, putative"
PF3D7-0405400,"Pf3D7-04-v3:291,251..300,976(+)","pre-mRNA-processing-splicing factor 8, putative"
PF3D7-0414500,"Pf3D7-04-v3:655,025..657,314(-)","RNA-binding protein, putative"
PF3D7-0414700,"Pf3D7-04-v3:660,624..662,519(+)","GTP-binding protein, putative"
PF3D7-0415500,"Pf3D7-04-v3:688,192..689,053(+)","nuclear cap-binding protein subunit 2, putative"
PF3D7-0416000,"Pf3D7-04-v3:701,526..704,162(-)","RNA-binding protein, putative"
PF3D7-0418200,"Pf3D7-04-v3:817,400..818,689(+)","eukaryotic translation initiation factor 3 subunit M, putative"
PF3D7-0422700,"Pf3D7-04-v3:1,040,470..1,041,642(+)","eukaryotic initiation factor 4A-III, putative"
PF3D7-0425400,"Pf3D7-04-v3:1,143,992..1,144,824(+)","Plasmodium exported protein (PHISTa), unknown function"
PF3D7-0500800,"Pf3D7-05-v3:43,327..47,761(-)",mature parasite-infected erythrocyte surface antigen
PF3D7-0501300,"Pf3D7-05-v3:68,930..70,113(+)",skeleton-binding protein 1
PF3D7-0502200,"Pf3D7-05-v3:104,256..105,737(+)","protein Mpv17, putative"
PF3D7-0503300,"Pf3D7-05-v3:135,004..135,930(-)",serine/arginine-rich splicing factor 12
PF3D7-0504200,"Pf3D7-05-v3:167,649..169,502(+)","ATP-dependent RNA helicase DDX27, putative"
PF3D7-0504400,"Pf3D7-05-v3:172,150..174,417(+)","ATP-dependent helicase, putative"
PF3D7-0508700,"Pf3D7-05-v3:358,261..362,733(+)","pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative"
PF3D7-0515000,"Pf3D7-05-v3:620,810..623,356(-)","pre-mRNA-splicing factor CWC2, putative"
