Gene ID,Genomic Location (Gene),Product Description
PF3D7-0100100,"Pf3D7-01-v3:29,510..37,126(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0100300,"Pf3D7-01-v3:42,367..46,507(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0115700,"Pf3D7-01-v3:607,390..614,893(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0200100,"Pf3D7-02-v3:25,232..31,168(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0223500,"Pf3D7-02-v3:916,352..923,648(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0300100,"Pf3D7-03-v3:36,965..44,482(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0324900,"Pf3D7-03-v3:1,030,822..1,038,254(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0400100,"Pf3D7-04-v3:28,706..37,677(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0400400,"Pf3D7-04-v3:45,555..56,860(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0412400,"Pf3D7-04-v3:545,987..553,810(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0412700,"Pf3D7-04-v3:561,667..569,342(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0412900,"Pf3D7-04-v3:576,810..584,668(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0413100,"Pf3D7-04-v3:591,949..599,849(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0420700,"Pf3D7-04-v3:935,031..941,875(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0420900,"Pf3D7-04-v3:946,169..953,773(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0421100,"Pf3D7-04-v3:958,067..965,611(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0421300,"Pf3D7-04-v3:969,031..976,591(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0425800,"Pf3D7-04-v3:1,156,423..1,167,821(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0426000,"Pf3D7-04-v3:1,173,053..1,180,226(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0500100,"Pf3D7-05-v3:20,929..28,456(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0600200,"Pf3D7-06-v3:3,503..12,835(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0600400,"Pf3D7-06-v3:18,586..22,721(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0617400,"Pf3D7-06-v3:723,117..731,490(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0632500,"Pf3D7-06-v3:1,353,946..1,366,430(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0632800,"Pf3D7-06-v3:1,374,797..1,382,627(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0700100,"Pf3D7-07-v3:20,307..28,083(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0711700,"Pf3D7-07-v3:511,950..519,425(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0712000,"Pf3D7-07-v3:527,338..535,131(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0712300,"Pf3D7-07-v3:542,906..550,520(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0712400,"Pf3D7-07-v3:552,158..559,078(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0712600,"Pf3D7-07-v3:566,726..574,308(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0712800,"Pf3D7-07-v3:581,386..588,923(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0712900,"Pf3D7-07-v3:590,326..597,733(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0733000,"Pf3D7-07-v3:1,417,588..1,426,234(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0800100,"Pf3D7-08-v3:21,361..28,653(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0800200,"Pf3D7-08-v3:29,700..39,033(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0800300,"Pf3D7-08-v3:40,948..50,939(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0808600,"Pf3D7-08-v3:431,165..439,051(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0808700,"Pf3D7-08-v3:440,408..448,062(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0809100,"Pf3D7-08-v3:459,312..466,567(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0833500,"Pf3D7-08-v3:1,435,794..1,443,449(-)","erythrocyte membrane protein 1, PfEMP1"
