Gene ID,Genomic Location (Gene),Product Description
PF3D7-0102200,"Pf3D7-01-v3:98,819..102,282(+)",ring-infected erythrocyte surface antigen
PF3D7-0104300,"Pf3D7-01-v3:190,269..201,230(+)","ubiquitin carboxyl-terminal hydrolase 1, putative"
PF3D7-0106300,"Pf3D7-01-v3:265,208..269,173(-)",calcium-transporting ATPase
PF3D7-0107500,"Pf3D7-01-v3:304,362..309,257(-)","NPC1-related protein, putative"
PF3D7-0112200,"Pf3D7-01-v3:464,726..470,194(+)",multidrug resistance-associated protein 1
PF3D7-0206800,"Pf3D7-02-v3:273,689..274,507(-)",merozoite surface protein 2
PF3D7-0217100,"Pf3D7-02-v3:707,738..709,393(+)","ATP synthase subunit alpha, mitochondrial"
PF3D7-0302500,"Pf3D7-03-v3:135,418..140,660(+)",cytoadherence linked asexual protein 3.1
PF3D7-0302600,"Pf3D7-03-v3:141,556..145,653(+)","ABC transporter B family member 4, putative"
PF3D7-0303600,"Pf3D7-03-v3:190,180..190,719(+)",plasmoredoxin
PF3D7-0304400,"Pf3D7-03-v3:217,941..218,489(+)",60S ribosomal protein L44
PF3D7-0319700,"Pf3D7-03-v3:820,708..830,802(+)","ABC transporter I family member 1, putative"
PF3D7-0321900,"Pf3D7-03-v3:922,974..927,942(+)",cyclic amine resistance locus protein
PF3D7-0417200,"Pf3D7-04-v3:748,088..749,914(+)",bifunctional dihydrofolate reductase-thymidylate synthase
PF3D7-0505300,"Pf3D7-05-v3:233,815..235,650(+)","UDP-N-acetylglucosamine transporter, putative"
PF3D7-0505500,"Pf3D7-05-v3:239,456..243,880(-)","DNA mismatch repair protein MSH6, putative"
PF3D7-0508300,"Pf3D7-05-v3:342,205..343,233(+)",triose phosphate transporter
PF3D7-0509800,"Pf3D7-05-v3:410,268..415,308(+)",phosphatidylinositol 4-kinase
PF3D7-0511000,"Pf3D7-05-v3:467,585..468,100(-)",translationally-controlled tumor protein homolog
PF3D7-0515300,"Pf3D7-05-v3:628,981..635,382(+)",phosphatidylinositol 3-kinase
PF3D7-0522600,"Pf3D7-05-v3:940,249..941,700(+)",inner membrane complex protein
PF3D7-0523000,"Pf3D7-05-v3:957,890..962,149(+)",multidrug resistance protein 1
PF3D7-0523800,"Pf3D7-05-v3:990,005..992,059(+)","divalent metal transporter, putative"
PF3D7-0523900,"Pf3D7-05-v3:993,433..994,607(-)","MerC domain-containing protein, putative"
PF3D7-0530200,"Pf3D7-05-v3:1,229,077..1,230,651(-)",phosphoenolpyruvate/phosphate translocator
PF3D7-0603300,"Pf3D7-06-v3:130,329..132,038(-)",dihydroorotate dehydrogenase
PF3D7-0604700,"Pf3D7-06-v3:204,640..206,207(-)",glyoxalase I-like protein GILP
PF3D7-0612300,"Pf3D7-06-v3:520,751..521,107(+)","transmembrane protein 234, putative"
PF3D7-0616200,"Pf3D7-06-v3:674,118..676,375(+)","kinetochore protein NDC80, putative"
PF3D7-0628200,"Pf3D7-06-v3:1,159,862..1,169,080(+)",eukaryotic translation initiation factor 2-alpha kinase
PF3D7-0629500,"Pf3D7-06-v3:1,213,948..1,216,005(-)",amino acid transporter AAT1
PF3D7-0705900,"Pf3D7-07-v3:290,100..291,220(-)","ATP synthase subunit C, putative"
PF3D7-0706700,"Pf3D7-07-v3:322,907..325,528(+)","DNA mismatch repair protein MSH2, putative"
PF3D7-0709000,"Pf3D7-07-v3:403,222..406,317(+)",chloroquine resistance transporter
PF3D7-0709700,"Pf3D7-07-v3:435,089..436,195(-)",prodrug activation and resistance esterase
PF3D7-0715500,"Pf3D7-07-v3:689,543..690,057(-)","ATP synthase subunit epsilon, mitochondrial, putative"
PF3D7-0715800,"Pf3D7-07-v3:695,600..696,904(-)","drug/metabolite transporter DMT1, putative"
PF3D7-0716900,"Pf3D7-07-v3:736,370..737,338(+)",drug/metabolite transporter DMT2
PF3D7-0728000,"Pf3D7-07-v3:1,191,179..1,192,289(-)",eukaryotic translation initiation factor 2 subunit alpha
PF3D7-0802200,"Pf3D7-08-v3:165,416..166,078(+)",1-cys peroxiredoxin
PF3D7-0810800,"Pf3D7-08-v3:548,200..550,616(+)",hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase
PF3D7-0813700,"Pf3D7-08-v3:671,157..675,416(-)",ABC transporter F family member 1
