Gene ID,Genomic Location (Gene),Product Description
PF3D7-0100100,"Pf3D7-01-v3:29,510..37,126(+)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0100200,"Pf3D7-01-v3:38,982..40,207(-)",rifin
PF3D7-0100300,"Pf3D7-01-v3:42,367..46,507(-)","erythrocyte membrane protein 1, PfEMP1"
PF3D7-0100400,"Pf3D7-01-v3:50,363..51,636(+)",rifin
PF3D7-0100500,"Pf3D7-01-v3:53,169..53,280(-)","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene"
PF3D7-0100600,"Pf3D7-01-v3:53,778..55,006(-)",rifin
PF3D7-0100800,"Pf3D7-01-v3:59,772..61,003(+)",rifin
PF3D7-0100900,"Pf3D7-01-v3:62,187..63,400(-)",rifin
PF3D7-0101000,"Pf3D7-01-v3:65,817..66,989(-)",rifin
PF3D7-0101100,"Pf3D7-01-v3:69,304..70,417(-)",exported protein family 4
PF3D7-0101200,"Pf3D7-01-v3:71,624..72,426(+)",exported protein family 3
PF3D7-0101400,"Pf3D7-01-v3:75,982..76,809(-)","exported protein family 1, pseudogene"
PF3D7-0101500,"Pf3D7-01-v3:78,241..79,891(+)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"
PF3D7-0101600,"Pf3D7-01-v3:81,765..83,106(-)",rifin
PF3D7-0101700,"Pf3D7-01-v3:84,791..86,152(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"
PF3D7-0101800,"Pf3D7-01-v3:87,203..88,177(-)",stevor
PF3D7-0101900,"Pf3D7-01-v3:90,242..91,420(-)",rifin
PF3D7-0102100,"Pf3D7-01-v3:95,050..95,899(+)","stevor, pseudogene"
PF3D7-0102200,"Pf3D7-01-v3:98,819..102,282(+)",ring-infected erythrocyte surface antigen
PF3D7-0102500,"Pf3D7-01-v3:110,750..115,799(-)",erythrocyte binding antigen-181
PF3D7-0102700,"Pf3D7-01-v3:124,517..125,484(+)",merozoite-associated tryptophan-rich antigen
PF3D7-0102800,"Pf3D7-01-v3:126,318..128,141(-)","seipin domain-containing protein, putative"
PF3D7-0103000,"Pf3D7-01-v3:132,086..133,624(-)","vacuolar protein sorting-associated protein VTA1, putative"
PF3D7-0103200,"Pf3D7-01-v3:140,662..142,219(-)",nucleoside transporter 4
PF3D7-0103400,"Pf3D7-01-v3:147,915..152,777(-)","zinc-carboxypeptidase, putative"
PF3D7-0103500,"Pf3D7-01-v3:154,176..160,426(+)","conserved Plasmodium protein, unknown function"
PF3D7-0103900,"Pf3D7-01-v3:172,864..174,591(+)",parasite-infected erythrocyte surface protein
PF3D7-0104000,"Pf3D7-01-v3:175,609..176,376(+)",thrombospondin-related sporozoite protein
PF3D7-0104100,"Pf3D7-01-v3:178,087..180,790(+)","conserved Plasmodium membrane protein, unknown function"
PF3D7-0104200,"Pf3D7-01-v3:182,822..184,222(-)",StAR-related lipid transfer protein
PF3D7-0104400,"Pf3D7-01-v3:202,536..204,143(+)",4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PF3D7-0104700,"Pf3D7-01-v3:210,870..213,005(+)","major facilitator superfamily-related transporter, putative"
PF3D7-0104800,"Pf3D7-01-v3:215,776..217,509(+)","novel putative transporter 1, putative"
PF3D7-0105400,"Pf3D7-01-v3:226,681..227,285(-)","conserved Plasmodium protein, unknown function"
PF3D7-0105400,"Pf3D7-01-v3:226,681..227,285(-)","conserved Plasmodium protein, unknown function"
PF3D7-0106000,"Pf3D7-01-v3:255,775..258,543(-)","conserved protein, unknown function"
PF3D7-0106200,"Pf3D7-01-v3:263,340..264,223(-)","EF hand domain-containing protein, putative"
PF3D7-0106700,"Pf3D7-01-v3:281,155..285,459(+)",small ribosomal subunit assembling AARP2 protein
PF3D7-0106800,"Pf3D7-01-v3:286,951..288,918(+)",ras-related protein Rab-5C
PF3D7-0106900,"Pf3D7-01-v3:290,386..292,590(+)","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative"
PF3D7-0107200,"Pf3D7-01-v3:297,362..299,397(+)","carbon catabolite repressor protein 4, putative"
PF3D7-0107400,"Pf3D7-01-v3:302,937..303,398(+)","ATP synthase-associated protein, putative"
PF3D7-0107500,"Pf3D7-01-v3:304,362..309,257(-)","NPC1-related protein, putative"
PF3D7-0107600,"Pf3D7-01-v3:314,618..319,405(+)","eukaryotic translation initiation factor 2-alpha kinase 2, putative"
PF3D7-0108400,"Pf3D7-01-v3:344,400..346,540(-)","mitochondrial carrier protein, putative"
PF3D7-0108400,"Pf3D7-01-v3:344,400..346,540(-)","mitochondrial carrier protein, putative"
PF3D7-0108500,"Pf3D7-01-v3:349,170..349,709(+)","conserved Plasmodium protein, unknown function"
PF3D7-0109000,"Pf3D7-01-v3:363,318..363,992(+)",photosensitized INA-labeled protein PHIL1
PF3D7-0109400,"Pf3D7-01-v3:374,439..375,087(-)","tubulin-specific chaperone a, putative"
PF3D7-0109700,"Pf3D7-01-v3:379,149..379,806(-)","rRNA biogenesis protein RRP36, putative"
PF3D7-0110100,"Pf3D7-01-v3:389,261..392,065(-)","selenocysteine-specific elongation factor, putative"
PF3D7-0110400,"Pf3D7-01-v3:393,875..394,835(-)","DNA-directed RNA polymerase II subunit RPB9, putative"
PF3D7-0110700,"Pf3D7-01-v3:413,760..415,100(-)","chromatin assembly factor 1 protein WD40 domain, putative"
PF3D7-0110800,"Pf3D7-01-v3:417,921..419,607(+)","transcription initiation factor TFIIB, putative"
PF3D7-0111000,"Pf3D7-01-v3:421,776..427,575(-)","kinesin-8, putative"
PF3D7-0111200,"Pf3D7-01-v3:430,152..430,858(-)","conserved protein, unknown function"
PF3D7-0112200,"Pf3D7-01-v3:464,726..470,194(+)",multidrug resistance-associated protein 1
PF3D7-0113000,"Pf3D7-01-v3:487,892..490,127(-)",glutamic acid-rich protein
PF3D7-0113200,"Pf3D7-01-v3:500,959..502,868(-)","Plasmodium exported protein, unknown function"
PF3D7-0113700,"Pf3D7-01-v3:520,807..522,579(+)","heat shock protein 40, type II"
PF3D7-0113900,"Pf3D7-01-v3:537,109..538,025(-)",CX3CL1-binding protein 1
PF3D7-0114400,"Pf3D7-01-v3:554,057..555,439(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"
PF3D7-0114600,"Pf3D7-01-v3:560,474..561,534(-)","stevor, pseudogene"
PF3D7-0114700,"Pf3D7-01-v3:563,703..564,842(-)",rifin
PF3D7-0115200,"Pf3D7-01-v3:591,849..593,187(+)",rifin
PF3D7-0115300,"Pf3D7-01-v3:595,102..596,273(+)",rifin
PF3D7-0115400,"Pf3D7-01-v3:598,465..599,472(+)",stevor
