Gene ID,Genomic Location (Gene),Product Description
PF3D7-0404100,"Pf3D7-04-v3:224,779..231,733(-)","AP2 domain transcription factor AP2-SP2, putative"
PF3D7-0420300,"Pf3D7-04-v3:917,990..928,411(+)","AP2 domain transcription factor, putative"
PF3D7-0516800,"Pf3D7-05-v3:700,120..707,256(-)","AP2 domain transcription factor AP2-O2, putative"
PF3D7-0604100,"Pf3D7-06-v3:171,301..177,240(-)",AP2 domain transcription factor
PF3D7-0611200,"Pf3D7-06-v3:467,481..468,642(+)","AP2 domain transcription factor, putative"
PF3D7-0613800,"Pf3D7-06-v3:566,139..578,993(+)","AP2 domain transcription factor, putative"
PF3D7-0622900,"Pf3D7-06-v3:925,105..931,074(-)",AP2 domain transcription factor AP2Tel
PF3D7-0730300,"Pf3D7-07-v3:1,297,459..1,301,454(+)","AP2 domain transcription factor AP2-L, putative"
PF3D7-0802100,"Pf3D7-08-v3:151,808..159,668(-)","AP2 domain transcription factor, putative"
PF3D7-0934400,"Pf3D7-09-v3:1,349,790..1,350,392(+)","AP2 domain transcription factor, putative"
PF3D7-1007700,"Pf3D7-10-v3:301,126..305,919(-)",AP2 domain transcription factor AP2-I
PF3D7-1107800,"Pf3D7-11-v3:329,867..335,601(-)","AP2 domain transcription factor, putative"
PF3D7-1115500,"Pf3D7-11-v3:588,169..589,400(+)","AP2 domain transcription factor, putative"
PF3D7-1139300,"Pf3D7-11-v3:1,556,744..1,565,045(-)","AP2 domain transcription factor, putative"
PF3D7-1143100,"Pf3D7-11-v3:1,720,047..1,724,861(-)","AP2 domain transcription factor AP2-O, putative"
PF3D7-1218300,"Pf3D7-12-v3:717,955..719,820(+)","AP-2 complex subunit mu, putative"
PF3D7-1222400,"Pf3D7-12-v3:890,581..898,257(+)",AP2 domain transcription factor
PF3D7-1222600,"Pf3D7-12-v3:907,203..914,501(+)",AP2 domain transcription factor AP2-G
PF3D7-1239200,"Pf3D7-12-v3:1,634,695..1,642,428(+)","AP2 domain transcription factor, putative"
PF3D7-1305200,"Pf3D7-13-v3:255,130..256,116(+)","AP2 domain transcription factor, putative"
PF3D7-1317200,"Pf3D7-13-v3:721,961..729,979(+)","AP2 domain transcription factor AP2-G3, putative"
PF3D7-1342900,"Pf3D7-13-v3:1,682,393..1,693,969(-)","AP2 domain transcription factor, putative"
PF3D7-1350900,"Pf3D7-13-v3:2,027,073..2,028,638(-)","AP2 domain transcription factor AP2-O4, putative"
PF3D7-1408200,"Pf3D7-14-v3:300,725..305,833(-)","AP2 domain transcription factor AP2-G2, putative"
PF3D7-1429200,"Pf3D7-14-v3:1,144,518..1,148,078(-)","AP2 domain transcription factor AP2-O3, putative"
PF3D7-1449500,"Pf3D7-14-v3:2,031,087..2,033,397(+)","AP2 domain transcription factor AP2-O5, putative"
PF3D7-1456000,"Pf3D7-14-v3:2,296,491..2,300,868(+)","AP2 domain transcription factor, putative"
PF3D7-1466400,"Pf3D7-14-v3:2,714,844..2,717,285(-)",AP2 domain transcription factor AP2-EXP
